"filename", "language", "JavaScript", "XML", "Vue", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\App.vue", "Vue", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\assets\quasar-logo-vertical.svg", "XML", 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\components\Nav\NavLink.vue", "Vue", 0, 0, 38, 0, 0, 0, 6, 44
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\css\app.scss", "SCSS", 0, 0, 0, 0, 8, 2, 1, 11
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\css\quasar.variables.scss", "SCSS", 0, 0, 0, 0, 9, 10, 7, 26
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\layouts\MainLayout.vue", "Vue", 0, 0, 69, 0, 0, 0, 11, 80
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\pages\ErrorNotFound.vue", "Vue", 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\pages\PageEntries.vue", "Vue", 0, 0, 49, 0, 0, 0, 8, 57
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\pages\PageSettings.vue", "Vue", 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\router\index.js", "JavaScript", 14, 0, 0, 0, 0, 11, 6, 31
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\router\routes.js", "JavaScript", 15, 0, 0, 0, 0, 2, 3, 20
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\stores\example-store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\stores\index.js", "JavaScript", 6, 0, 0, 0, 0, 10, 5, 21
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\stores\store-flag.d.ts", "TypeScript", 0, 0, 0, 6, 0, 3, 2, 11
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\use\useAmountColorClass.js", "JavaScript", 6, 0, 0, 0, 0, 1, 2, 9
"c:\Users\User\Desktop\Money-app\quasar-moneyballs\src\use\useCurrency.js", "JavaScript", 13, 0, 0, 0, 0, 6, 5, 24
"Total", "-", 68, 15, 200, 6, 17, 45, 66, 417
